data_id,Name ,Team Number (of the team you are scouting) ,Match Number ,Alliance Color,Did they cross the initiation line? ,Balls Scored (auto) [High],Approx. how many balls did they miss? (auto) [High],Balls Scored (teleop) [High],Approx. how many balls did they miss? [High],Climbed?,Comments
246,Mag,6658,50,Red,1,0,2,0,0,0,
247,GIA,2710,50,Red,1,3,0,5,2,0,
248,dav,6904,51,Red,1,0,0,0,0,1,
249,Jac,7051,51,Blue,0,0,0,1,4,1,
250,Jus,2576,51,Blue,0,3,0,2,3,0,
251,Gia,606,51,Red,0,0,0,0,0,0,
252,Mag,4999,51,Red,1,0,0,4,6,0,
253,Jac,5089,52,Blue,1,2,0,4,0,0,
254,Gia,7455,52,Red,1,0,0,0,0,0,
255,Jus,1836,52,Blue,1,3,0,8,2,0,
256,Dav,1759,51,Red,1,0,0,2,2,0,
257,Mag,841,52,Red,1,0,0,4,8,0,
258,Alo,987,50,Blue,1,2,1,11,2,1,
259,Alo,7447,51,Blue,1,0,0,0,0,0,The robot wasn’t moving in the beginning of teleop.
260,Alo,5802,52,Blue,1,2,0,7,1,0,
261,Rus,1452,53,Blue,1,1,0,0,0,0,hard defended by 980; maybe flywheel 0 work; 0 shoot whole teleop
262,Tif,3952,53,Blue,1,3,0,0,0,0,Robot died during teleop but was fine during auto 
263,Dan,3408,53,Red,1,0,2,1,6,1,robot slow
264,Dav,980,53,Red,1,0,0,0,1,0,
265,Isa,597,54,Red,1,2,0,6,1,0,
266,Rus,606,54,Blue,1,0,0,0,0,0,"stopped moving, 0 disabled"
267,Tif,4400,54,Blue,1,3,0,2,3,0,"Stopped a little halfway through
Missed a lot of balls"
268,Rus,4019,55,Blue,1,0,0,2,1,0,0 move most of match
269,Isa,2710,55,Red,1,3,0,8,3,1,
270,Tif,207,55,Blue,1,0,0,7,5,0,"Shot low a lot, barely clearing the target"
271,Ken,4578,49,Red,1,0,0,0,0,0,
272,Ken,7033,55,Red,1,0,0,0,0,0,
273,Isa,5512,56,Red,1,0,0,0,0,0,
274,Dav,5634,56,Red,1,0,0,0,0,0,
275,Ken,1197,56,Red,1,2,2,5,8,1,
276,Rus,1515,56,Red,1,3,2,18,2,0,hook fell off for climb; always falls off
277,Tif,5669,56,Blue,1,0,0,12,0,0,Very accurate shooter
278,Isa,6000,57,Red,1,0,0,0,0,0,
279,Ken,7185,57,Red,0,0,0,0,0,0,
280,Dav,7051,57,Red,0,0,0,0,0,1,
281,Rus,5510,57,Blue,1,0,1,0,3,0,slow movement; something wrong with drive train; didn't shoot much
282,Tif,3512,57,Blue,1,2,1,0,0,0,
283,Jus,1836,52,Blue,1,3,0,8,2,0,
284,Alo,4964,57,Blue,0,0,0,0,0,0,
285,Zac,2637,58,Blue,1,1,2,11,2,1,
286,Jus,6938,58,Blue,1,0,0,0,0,0,Actually ok defense
287,Han,6904,58,Red,1,0,0,0,0,1,They did not score at all.
288,Jus,4501,59,Blue,1,0,0,4,1,0,
289,Han,6658,59,Red,1,3,0,0,0,0,They did not score at all.
290,Mar,8159,58,Red,0,0,0,0,1,0,
291,Han,1515,60,Red,1,0,0,0,0,1,Shooter wasn’t working. They did not score at all.
292,Jus,5089,60,Blue,1,0,1,1,0,0,
293,syd,4400,60,Blue,0,3,0,2,1,1,i don’t k0w if this is accurate bc i kept losing them 
294,syd,5802,61,Blue,1,3,1,9,4,1,
295,Jus,597,61,Blue,1,1,2,7,3,0,Have a different 1 wheel in drivetrain
296,Han,6938,61,Red,1,0,0,0,0,0,Something wrong with robot. Lack of movement. Didn’t score at all.
297,Mar,2576,59,Red,0,0,0,2,1,1,
298,Jus,1197,62,Blue,1,3,1,2,5,1,
299,syd,987,62,Blue,1,7,0,17,4,1,god-like
300,Han,980,62,Red,1,0,0,0,0,0,Did not score at all.
301,Ale,5512,63,Red,0,0,0,0,0,0,
302,Bel,5124,63,Blue,1,3,0,4,2,1,
303,Jac,7033,63,Red,1,0,0,0,0,1,
304,Ang,1759,63,Red,0,0,0,0,0,0,Robot was dead
305,Uly,841,63,Blue,0,0,0,2,8,0,
306,Mag,7051,63,Blue,1,0,0,1,2,1,
307,Bel,5669,64,Blue,1,0,0,0,1,0,
308,Jac,6000,64,Red,1,0,0,0,0,0,
309,Mag,4201,64,Blue,1,2,0,20,4,1,
310,Ale,687,64,Red,1,3,0,7,3,0,
311,Ang,4501,64,Red,1,3,0,5,4,1," - climb was unsuccessful 
- driving was very jagged and in sharp movements; not smooth"
312,Uly,4123,64,Blue,0,3,0,5,1,0,
313,Sia,5553,58,Red,1,2,0,0,7,1,Same starting position?
314,Mag,6904,65,Blue,1,0,0,0,0,1,
315,Jac,4578,65,Red,1,0,0,0,0,1,
316,Ale,4999,65,Red,1,0,0,8,3,0,
317,Bel,5510,65,Blue,1,0,0,1,3,0,They attempted a climb before running out of time
318,Sia,987,59,Red,1,2,2,29,2,1,Drivers are very good
319,Uly,7455,65,Blue,0,0,0,0,0,0,
320,Ang,3512,65,Red,1,2,1,2,2,1,
321,Sia,3408,60,Red,1,0,0,0,0,0,
322,Soa,1846,62,Red,1,2,0,9,0,1,Tall bot. Blocked teammates shots in telop
323,Jac,2637,66,Red,1,1,2,0,0,1,
324,Ale,8159,66,Red,1,0,0,0,0,0,
325,Bel,7185,66,Blue,0,0,0,0,0,1,tenkaCould not pick up any balls
326,Ang,5634,66,Red,1,0,0,0,0,0,The drivers seemed like they didn’t k0w what to do after alliance members died...
327,Mag,207,66,Blue,1,0,0,4,1,0,
328,Uly,2576,66,Blue,0,1,1,1,0,1,
329,Roy,4400,67,Blue,1,3,0,5,0,0,
330,Isa,1452,67,Red,1,2,0,4,0,0,
331,Log,4019,67,Red,0,0,0,1,3,0,
332,Jul,1197,67,Blue,0,0,0,10,1,1,
333,Mag,1759,67,Blue,0,0,0,2,2,0,
334,Roy,5124,68,Blue,1,0,0,5,0,0,
335,Log,7447,68,Red,1,0,0,0,4,0,
336,Jul,987,68,Blue,0,5,0,13,0,1,Scores consistently into high port. 
337,Mag,5512,68,Red,0,0,0,0,0,0,Robot prob wasnt working
338,Isa,1515,68,Red,1,2,0,9,3,1,
339,Roy,7455,69,Blue,1,0,0,0,0,0,
340,Mag,5512,69,Blue,1,0,0,0,0,0,Robot list COMS
341,Log,3408,69,Blue,1,1,2,1,5,1,
342,Isa,207,69,Red,1,0,0,0,0,0,
343,Jul,6000,69,Blue,0,0,0,0,0,1,
344,Roy,1836,70,Blue,1,0,0,5,3,1,
345,Isa,6938,70,Red,1,0,0,0,0,0,
346,Log,7051,70,Red,1,0,0,1,3,0,
347,Mag,2637,70,Blue,0,0,0,2,2,0,
348,Jul,6658,70,Blue,1,0,0,0,3,0,"Were played defense against, made it hard to score. "
349,Gia,5669,71,Red,1,3,0,0,0,0,
350,And,4964,71,Blue,1,0,0,0,0,0,
351,Tan,4999,71,Blue,1,0,0,5,1,0,
352,Gia,6904,72,Red,1,0,0,0,0,0,
353,Lil,5634,72,Red,1,0,0,0,0,0,bumper fell off towards end of match 
354,Tan,597,72,Blue,1,1,0,8,1,0,Has a climb but did not grab on the bar. They fell off the bar 
355,and,5089,73,Blue,1,0,3,2,3,0,
356,Lil,5553,73,Red,1,0,0,9,1,1,could not see beginning of match 
357,Pra,3952,73,Red,1,3,0,5,0,0,
358,Tan,3512,73,Blue,1,0,0,0,0,1,Did not shoot but had a mechanism which looked like it could score high
359,Pra,841,72,Red,1,3,0,2,3,0,
360,Gia,4578,73,Red,1,0,0,0,0,0,
361,Gia,4578,73,Red,1,0,0,0,0,0,
362,Tan,1515,74,Blue,1,3,0,8,4,0,
